feature,offset,auc,p,q
linreg_slope_20,-2,0.5214065605832238,9.692045434713742e-10,6.760201690712835e-09
linreg_slope_20,-1,0.5208373567478467,2.6518038612525484e-09,1.6814847211124113e-08
linreg_slope_20,0,0.5286804869070402,2.5677583122407923e-16,4.214144524206947e-15
adx_14,-8,0.49897161675823265,0.7689576318168831,0.8283365995247506
adx_14,-7,0.4982557631077869,0.6183363917291724,0.695628440695319
adx_14,-6,0.49718114955159914,0.4207309779977273,0.49837004648534095
adx_14,-5,0.49603432311843426,0.25733006396344005,0.33865607474433856
adx_14,-4,0.49511657498006134,0.1630572441578143,0.24327792042796895
adx_14,-3,0.49417177874024754,0.09596724524879614,0.15937417514532215
adx_14,-2,0.4930951949423493,0.04858289768064658,0.0880170678759766
adx_14,-1,0.4928246762319891,0.04041295622388863,0.07567258245949615
adx_14,0,0.495982006164444,0.2511056485073996,0.3352080188208827
rsi_14,-8,0.5138000102130896,8.089749893572807e-05,0.0002536000247535745
rsi_14,-7,0.5197117481090203,1.798882239507336e-08,9.651695092741283e-08
rsi_14,-6,0.5195062121922176,2.5241010692342408e-08,1.3287249024836854e-07
rsi_14,-5,0.5202438515893316,7.368889835587949e-09,4.3153868604822005e-08
rsi_14,-4,0.5181015102706891,2.3362818902790765e-07,1.0863710789797706e-06
rsi_14,-3,0.5212106346208862,1.3744968830563551e-09,9.130586437445788e-09
rsi_14,-2,0.521815398303461,4.6294084784701313e-10,3.5877915708143517e-09
rsi_14,-1,0.5138291667747283,7.813368098774449e-05,0.00024771928404068987
rsi_14,0,0.5279170107050469,1.5362637480740325e-15,2.3812088095147503e-14
roc_8,-8,0.5132820628189454,0.00014836924818968267,0.0004548903323617744
roc_8,-7,0.5186052513173981,1.0709348057687232e-07,5.064251030669046e-07
roc_8,-6,0.5158105916173453,6.301502430971951e-06,2.4418321920016308e-05
roc_8,-5,0.5131878279673399,0.00016530922622982032,0.0004978878725798669
roc_8,-4,0.5107222388419482,0.0021941200516349,0.005369820126369623
roc_8,-3,0.5156905626829384,7.404103295727152e-06,2.8297874239833914e-05
roc_8,-2,0.5218736486001533,4.1623128292657724e-10,3.3179579410432872e-09
roc_8,-1,0.5044446265577727,0.20425301318629585,0.29223892655885403
roc_8,0,0.5309937718246992,8.533803312551141e-19,1.488081952626105e-17
macd_hist,-8,0.5120947408820531,0.0005510160356046558,0.0015071909209186172
macd_hist,-7,0.5138606755637153,7.52473613640764e-05,0.00024131050368479676
macd_hist,-6,0.5147618751795584,2.481616421017653e-05,9.110144492946384e-05
macd_hist,-5,0.5163529207526565,2.998553712960046e-06,1.2124586752403664e-05
macd_hist,-4,0.5153682623010936,1.1352344288186416e-05,4.2230720752053466e-05
macd_hist,-3,0.5144605563640918,3.621344945049571e-05,0.00012629440495860378
