feature,offset,auc,p_two_sample,p_one_sample,median_event_z,median_control_z,q_two_sample,q_one_sample
ema20_slope,-29,0.45249378443133753,3.017123433878874e-09,7.626454317911223e-10,-0.16810825779061359,0.01970633940516123,9.576391780849882e-09,1.7926098809110914e-09
ema20_slope,-28,0.4519797949771396,2.036981409953423e-09,4.998540170984831e-10,-0.16828315533175658,0.016161572021768073,6.541292415061697e-09,1.193368752863394e-09
ema20_slope,-27,0.45227580429125736,2.5553656984808562e-09,6.118265623549983e-10,-0.17853998112668595,0.014498570295790637,8.167617466172457e-09,1.4480600991377816e-09
ema20_slope,-26,0.45262929863346707,3.344129086893991e-09,1.2470789144524424e-09,-0.1734580134701226,0.008937000908693924,1.0589742108497638e-08,2.881763437450914e-09
ema20_slope,-25,0.4516494489683897,1.5791221038106634e-09,6.194043430959592e-10,-0.1783305622682726,0.02909410151915667,5.082915383559971e-09,1.4634631111490023e-09
ema20_slope,-24,0.4523102374372789,2.623430103173343e-09,1.113883911503281e-09,-0.16405206565487299,0.029521111760883532,8.365623266063249e-09,2.587085213814072e-09
ema20_slope,-23,0.45475238661729256,1.6166547135503622e-08,1.205021582937891e-08,-0.1604745686810913,0.025497728018514645,4.9146303291931007e-08,2.6502725489695096e-08
ema20_slope,-22,0.45866763786785714,2.4705436944584e-07,8.942781515383593e-08,-0.1510261386827536,0.027505310204420822,7.10021801264515e-07,1.8706001701903295e-07
ema20_slope,-21,0.4640146135429132,7.042333108704823e-06,2.4166046746797673e-06,-0.12850123353647142,0.013328706465856072,1.831542146902699e-05,4.591548881891558e-06
ema20_slope,-20,0.4666325936058323,3.105664596536287e-05,5.255369616670083e-06,-0.12265055748513815,0.003313843976494933,7.724634851021164e-05,9.689145061461825e-06
ema20_slope,-19,0.46852902082453013,8.536122332850544e-05,4.025727568734386e-06,-0.1303285302039024,-0.010956459965809231,0.0002006428754525695,7.502990891047193e-06
ema20_slope,-18,0.4684670025811356,8.265474618858142e-05,5.163030377584724e-06,-0.12971486592812265,-0.01381520603017991,0.00019495119445858515,9.531748389387182e-06
ema20_slope,-17,0.4687323403534191,9.483326360592563e-05,1.194419142882814e-05,-0.1281088124776824,0.0020085067099793897,0.00022176393950924147,2.1331140828507692e-05
ema20_slope,-16,0.47062413790542496,0.0002451511722151552,9.970273127915141e-05,-0.1353039951552608,-0.009131820925226497,0.0005376919011298333,0.00016532525623015652
ema20_slope,-15,0.47447910703760454,0.0014424513020369688,0.0012255467894696896,-0.08503415908979879,0.0010992707269600753,0.002827039228060993,0.0018986953657922259
ema20_slope,-14,0.4830694535845532,0.034549341153140574,0.022359349235652363,-0.04088810409802048,-0.004744198845050096,0.05540855650351267,0.030405158801563054
ema20_slope,-13,0.4949143593645667,0.52550361324415,0.3792845403577283,0.006461152387077531,-0.015007937124324989,0.6018105676986067,0.42704629729166443
ema20_slope,-12,0.5038799018163437,0.6281300993309542,0.864161822490014,0.038655688456061335,-0.01242485084281889,0.6941161592223872,0.8789393109043414
ema20_slope,-11,0.51521892005887,0.05744335516654918,0.13251978474266993,0.05238740430657548,-0.026169475071855384,0.08839427431702956,0.16391235581191
ema20_slope,-10,0.525341107572524,0.0015584440434312265,0.004447621830578205,0.10583137069557354,-0.029803129378150987,0.0030413002159970295,0.006418087198555891
ema20_slope,-9,0.535395393308029,9.927324188626836e-06,6.808671086517805e-05,0.13102097515270336,-0.04389183600352478,2.55754792656149e-05,0.00011484910044829047
ema20_slope,-8,0.5469234562738108,4.687221906204306e-09,1.0599167790569192e-07,0.15760241250179555,-0.052534261694084074,1.4725826684769118e-08,2.206950005707558e-07
ema20_slope,-7,0.559824118962372,8.115768430488104e-14,6.634248822368598e-12,0.19453213340086872,-0.06324706628992507,3.1451476523817923e-13,1.7027490410882253e-11
ema20_slope,-6,0.5722661552942602,1.8520707045089727e-19,1.7268742572642562e-16,0.23623047672931133,-0.07566544652412706,9.744741245262594e-19,5.393525077482883e-16
ema20_slope,-5,0.5838681964757241,1.1853165853059424e-25,6.32285664123663e-23,0.26687494031577164,-0.08725452201223442,8.273025962747597e-25,2.217863560310695e-22
ema20_slope,-4,0.59658145411465,1.777004481860716e-33,4.694689166390557e-31,0.3229295085723555,-0.08015050356501671,1.4644229705936502e-32,1.8508169393724155e-30
ema20_slope,-3,0.618864907965602,8.18785547624829e-50,2.689666237607739e-47,0.4187110738441578,-0.09369416845837512,8.297026882598267e-49,1.1907648585913872e-46
ema20_slope,-2,0.6564129516083125,6.52834865886163e-85,1.245285744042219e-81,0.5668685795692495,-0.12775656506056768,8.93078096532271e-84,8.826688589895107e-81
ema20_slope,-1,0.699953905880998,1.5735614626426859e-137,1.3224880981253138e-128,0.74511981225342,-0.12467014046641628,3.0751886869931345e-136,1.6751515909587308e-127
ema20_slope,0,0.7583910056378731,2.7619599143212867e-228,3.2448154271467745e-185,0.9999810835888793,-0.15754579704927862,8.786886425096558e-227,7.653288800580667e-184
ema20_slope,1,0.8168250189502867,0.0,3.6031537166793826e-224,1.3509111246460008,-0.17560676157717423,0.0,1.2638754575429219e-222
ema20_slope,2,0.8725031749386111,0.0,3.4158044805756655e-257,1.73957851384423,-0.20231446758569663,0.0,3.594477330328854e-255
ema20_slope,3,0.9180421197430496,0.0,9.815864818410614e-268,2.1462858872333257,-0.2306309918723721,0.0,2.6856206143171443e-265
linreg_slope_20,-32,0.46651058259822104,2.9047434998939872e-05,2.9658431887595e-06,-0.13395943352143244,-0.004286187460379669,7.25125749608572e-05,5.588530967249306e-06
linreg_slope_20,-31,0.463357297324043,4.774400350439354e-06,6.388989634072154e-07,-0.14593189308164015,0.010154707873593018,1.2536237388485673e-05,1.2685250826430633e-06
linreg_slope_20,-30,0.4609875831374807,1.1142944402564683e-06,1.1861062473260397e-07,-0.16076267384475149,-0.00012809749194983916,3.0426243398619735e-06,2.4622053813991236e-07
linreg_slope_20,-29,0.46014604476482596,6.512761783852941e-07,6.045178318012686e-08,-0.14228691969971993,-0.0070680611813371125,1.8108654716078909e-06,1.284131046434993e-07
linreg_slope_20,-28,0.4587050610069506,2.532942915367235e-07,3.6570800006976825e-08,-0.15087041858738703,0.00031608934402352096,7.264289115770184e-07,7.841513230336097e-08
linreg_slope_20,-27,0.4585674248742539,2.310674052344804e-07,4.309012015816622e-08,-0.16533814458760018,0.00028913113095408707,6.668780809298928e-07,9.210513183808029e-08
linreg_slope_20,-26,0.4597521372904509,5.046616433058413e-07,1.5078227679035967e-07,-0.18600906522659644,0.01071118942989555,1.4176121725716444e-06,3.1158633632811483e-07
linreg_slope_20,-25,0.4599481265137443,5.731106917572153e-07,1.9294930773353632e-07,-0.15922553652436705,0.017828918755119973,1.6000314822936134e-06,3.9616005151088416e-07
linreg_slope_20,-24,0.4621382482132139,2.2825394539515895e-06,1.235949995278092e-06,-0.1536647402111536,0.023026645646467857,6.146681049223965e-06,2.4016755590062924e-06
linreg_slope_20,-23,0.46535615591830065,1.5258235651728828e-05,7.292728953360799e-06,-0.11898271505405746,0.013667422711453135,3.8725911635556655e-05,1.3266560117284007e-05
linreg_slope_20,-22,0.46758755881244035,5.2020437798328e-05,1.4066574287146055e-05,-0.11033711591929615,0.014197698444015356,0.0001259539095718809,2.505608544897891e-05
linreg_slope_20,-21,0.4684782873936973,8.314110098278043e-05,1.761299447776842e-05,-0.1128622010438266,-0.002063193917099657,0.00019576080231401658,3.10897760588222e-05
linreg_slope_20,-20,0.47036854172347253,0.000216295942067704,4.250402234038374e-05,-0.09158752606067448,0.0005745086338733038,0.0004772465302397082,7.28640382978007e-05
linreg_slope_20,-19,0.47194648645431864,0.00046144866229759035,6.929983886214785e-05,-0.06131770369527704,0.004124377005762492,0.0009741693981838018,0.0001167514526643082
linreg_slope_20,-18,0.47250773708933047,0.0005988724354239617,9.55389183552215e-05,-0.07354131527970968,-0.0006874777685824859,0.001243182840151714,0.00015861315571595025
linreg_slope_20,-17,0.47299115145308357,0.0007468538917422066,0.00023801480514872532,-0.08400957015691483,-0.0035726796340352306,0.0015181220266022861,0.00038578703014627514
linreg_slope_20,-16,0.4755697793491209,0.0022894837058141963,0.0009012960055935238,-0.07560887448286316,-0.005729997534658861,0.004350019041046973,0.0014091119264593606
linreg_slope_20,-15,0.4787581729290464,0.008005898424393941,0.00393977853340278,-0.06294216821093829,0.0026057321263866307,0.014091188137923689,0.0057214618192091326
linreg_slope_20,-14,0.4842547447090867,0.049341408541304164,0.019975217472393843,-0.03876548345229983,-7.242601570260606e-05,0.07705370648915993,0.027408322469643708
linreg_slope_20,-13,0.49092676957194004,0.25734239856968755,0.11086205615422286,-0.032957457391900445,-0.01330574379087572,0.3340079708191011,0.13939273237038316
linreg_slope_20,-12,0.49778764625527,0.7824067935977895,0.4439663663151807,-0.008168491222713924,-0.017575078802121925,0.8277900182844363,0.4933761081390473
linreg_slope_20,-11,0.5060821763908797,0.4476778416949343,0.7645790743379911,0.028727870269689263,-0.01365936501721058,0.5265892411338523,0.7876085645288944
linreg_slope_20,-10,0.5153697700319168,0.05501546112065024,0.14726762767746995,0.07339048218143512,-0.018649320159465375,0.08523346637944454,0.17987688809176688
linreg_slope_20,-9,0.5255640067334644,0.0014158447403000683,0.005948367342598191,0.11117160849749683,-0.024522375097150096,0.0027828672481759963,0.008520802643638038
linreg_slope_20,-8,0.5363352156464987,5.731008811111292e-06,4.777578483572803e-05,0.14197691164845547,-0.03552885962853996,1.5019195504981316e-05,8.159459882056923e-05
linreg_slope_20,-7,0.5484493172543723,1.4629089053289741e-09,2.755601267229532e-08,0.18790138387573682,-0.033412620164115926,4.719951373797256e-09,5.974108611045958e-08
