feature,direction,auc_late_-4..-1,auc_early_-16..-9,auc_veryearly_-32..-17,earliest_sig_offset,lead_min_vs_1h_close,onesample_earliest_offset,onesample_lead_min,hit_rate_fpr10,fpr,median_trigger_lead_min,symbol_consistency,n_symbols,succ_vs_fail_auc,recommendation,signed_auc_late,redundant_with
adx_14,+,0.5402361429026254,0.5258106840180139,0.5309501540681221,-2.0,75.0,,,0.1267605633802817,0.09903456867019621,330.0,0.7407407407407407,54,0.4896708119987605,DISCARD,0.5402361429026254,
avg_spread_8,+,0.5400444983627524,0.4958862384150706,0.4947000435211229,-2.0,75.0,-32.0,525.0,0.12982241273729334,0.09887885393958268,255.0,0.7037037037037037,54,0.48455672449685294,DISCARD,0.5400444983627524,
oi_change_4h,+,0.5329032596483972,0.5010926100318647,0.4951574326972812,-1.0,60.0,-5.0,120.0,0.13533374157991426,0.09887885393958268,315.0,0.6851851851851852,54,0.48810945564319796,DISCARD,0.5329032596483972,
funding_change_24h,-,0.4699844157147846,0.4739550195961164,0.4875537573781464,,,-23.0,390.0,0.0998162890385793,0.0825288072251635,450.0,0.6851851851851852,54,0.48882080627895036,DISCARD,0.5300155842852154,
taker_ls_vol_ratio,+,0.5237297137038507,0.5074598367858664,0.5037640877978814,,,-32.0,525.0,0.10716472749540723,0.09887885393958268,375.0,0.7592592592592593,54,0.5016991704401597,DISCARD,0.5237297137038507,
body_atr,+,0.5168765692158858,0.4958231227467283,0.49880497174663674,,,-32.0,525.0,0.10716472749540723,0.09887885393958268,330.0,0.7777777777777778,54,0.5045858845104205,DISCARD,0.5168765692158858,
toptrader_ls_change_4h,+,0.5146521425475891,0.5090944128666063,0.4965413507992629,,,-18.0,315.0,0.13655848132271892,0.09887885393958268,315.0,0.5555555555555556,54,0.5339686069724413,DISCARD,0.5146521425475891,
funding_rate,-,0.4926962062598388,0.4910257540131195,0.4979879112355472,,,,,0.09614206981016533,0.07536592961694176,450.0,0.4528301886792453,53,0.47434694574551134,DISCARD,0.5073037937401612,
lower_wick_frac,-,0.49847916068278614,0.5008039163595571,0.4993683194506501,,,-25.0,420.0,0.09491733006736068,0.09887885393958268,375.0,0.6111111111111112,54,0.5067501540389812,DISCARD,0.5015208393172139,
upper_wick_frac,-,0.5007721135521109,0.5009342737999571,0.49455105039836844,,,-5.0,120.0,0.09797917942437231,0.09887885393958268,375.0,0.5555555555555556,54,0.4867057254301636,DISCARD,0.49922788644788907,
body_frac,+,0.49890403328582894,0.4989081616508361,0.5043439885994473,,,,,0.0930802204531537,0.09887885393958268,427.5,0.5925925925925926,54,0.5065058443801959,DISCARD,0.49890403328582894,
range_compression_24v96,-,0.5037053526934964,0.49571603098358064,0.5119525818904804,,,-32.0,525.0,0.10593998775260258,0.09887885393958268,435.0,0.5185185185185185,54,0.5028322743628655,DISCARD,0.49629464730650363,
